,Destination,Price(€),Date,Airline Company,Departure Time,Connection,Class
0,Tel Aviv,2551,Wed 26 Oct,Wizz Air,2200,2 stops,Economy
1,Orlando,255,Sun 23 Oct,Ryanair,15351,2 stops,Economy
2,Tel Aviv,2641,Wed 12 Oct,Norse Atlantic Airways,2135,2 stops,Economy
3,Orlando,264,Sun 16 Oct,Wizz Air,15351,2 stops,Economy
4,Tel Aviv,2861,Sun 11 Sep,Ryanair,2200,2 stops,Economy
5,Orlando,286,Fri 26 Aug,Norse Atlantic Airways,15351,3 stops,Economy
6,Tel Aviv,2911,Wed 19 Oct,Wizz Air,2135,2 stops,Economy
7,Orlando,291,Sun 23 Oct,Ryanair,15351,3 stops,Economy
8,Tel Aviv,2913,Sun 16 Oct,Norse Atlantic Airways,2135,3 stops,Economy
9,Orlando,291,Fri 9 Sep,Wizz Air,15351,3 stops,Economy
10,Tel Aviv,3101,Fri 14 Oct,Ryanair,2245,3 stops,Economy
11,Orlando,310,Sun 9 Oct,Norse Atlantic Airways,15351,2 stops • Change airport,Economy
12,Tel Aviv,306,Sun 9 Oct,Wizz Air,2200,2 stops,Economy
13,Orlando,306,Mon 17 Oct,Ryanair,15351,2 stops • Change airport,Economy
14,Tel Aviv,3132,Fri 16 Sep,Norse Atlantic Airways,2155,3 stops,Economy
15,Orlando,313,Wed 7 Sep,Wizz Air,15351,2 stops,Economy
16,Tel Aviv,3132,Sat 17 Sep,LOT Polish Airlines,2155,2 stops • Change airport,Economy
17,Orlando,313,Sun 4 Sep,Norse Atlantic Airways,15351,3 stops,Economy
18,Tel Aviv,3201,Wed 19 Oct,Wizz Air,2245,2 stops • Change airport,Economy
19,Orlando,320,Fri 21 Oct,Ryanair,15351,3 stops,Economy
20,Tel Aviv,3201,Mon 17 Oct,Norse Atlantic Airways,2245,3 stops,Economy
21,Orlando,320,Mon 19 Sep,Wizz Air,15351,2 stops • Change airport,Economy
22,Tel Aviv,3241,Wed 14 Sep,Air Serbia,2135,2 stops,Economy
23,Orlando,324,Fri 14 Oct,Norse Atlantic Airways,15351,2 stops,Economy
24,Tel Aviv,3271,Mon 17 Oct,Wizz Air,2135,2 stops,Economy
25,Orlando,327,Wed 21 Sep,Air Serbia,15351,2 stops,Economy
26,Tel Aviv,3111,Sun 18 Sep,Norse Atlantic Airways,1210,3 stops,Economy
27,Orlando,311,Mon 19 Sep,Wizz Air,08431,2 stops,Economy
28,Tel Aviv,3491,Mon 17 Oct,LOT Polish Airlines,2245,2 stops,Economy
29,Orlando,349,Sun 25 Sep,Norse Atlantic Airways,15351,Direct,Economy
30,Tel Aviv,348,Thu 2 Feb,Wizz Air,2200,Direct,Economy
31,Orlando,348,Sun 19 Feb,LOT Polish Airlines,15351,Direct,Economy
32,Tel Aviv,3311,Sun 22 Jan,Norse Atlantic Airways,1255,Direct,Economy
33,Orlando,331,Sun 22 Jan,Wizz Air,08481,Direct,Economy
34,Tel Aviv,3533,Sun 22 Jan,Norse Atlantic Airways,2155,Direct,Economy
35,Orlando,353,Tue 14 Feb,Wizz Air,15351,Direct,Economy
36,Tel Aviv,2602,Mon 20 Feb,Ryanair,0925,Direct,Economy
37,Orlando,260,Sun 12 Mar,Norse Atlantic Airways,15351,Direct,Economy
38,Tel Aviv,369,Thu 9 Mar,Ryanair,2245,Direct,Economy
39,Orlando,369,Wed 8 Mar,Norse Atlantic Airways,15351,Direct,Economy
40,Tel Aviv,3813,Sun 19 Mar,Spirit Airlines,0000,Direct,Economy
41,Orlando,381,Tue 14 Mar,Wizz Air,1535,Direct,Economy
42,Tel Aviv,3411,Sun 19 Mar,LOT Polish Airlines,1210,Direct,Economy
43,Orlando,341,Wed 1 Feb,Norse Atlantic Airways,08481,Direct,Economy
44,Tel Aviv,3691,Sun 22 Jan,Wizz Air,2200,Direct,Economy
45,Orlando,369,Wed 1 Mar,Ryanair,15351,Direct,Economy
46,Tel Aviv,2872,Wed 1 Mar,Norse Atlantic Airways,1125,Direct,Economy
47,Orlando,287,Sun 5 Feb,Ryanair,15351,Direct,Economy
48,Tel Aviv,3131,Thu 2 Mar,Norse Atlantic Airways,2245,Direct,Economy
49,Orlando,313,Thu 2 Mar,Spirit Airlines,23561,Direct,Economy
50,Tel Aviv,3743,Fri 3 Mar,Wizz Air,2200,Direct,Economy
51,Orlando,374,Sun 5 Feb,Air Serbia,15351,Direct,Economy
52,Tel Aviv,3721,Wed 1 Mar,Norse Atlantic Airways,2135,Direct,Economy
53,Orlando,372,Sat 4 Mar,Wizz Air,15351,Direct,Economy
54,Tel Aviv,3931,Wed 1 Feb,Norse Atlantic Airways,0000,Direct,Economy
55,Orlando,393,Fri 3 Mar,Wizz Air,1535,Direct,Economy
56,Tel Aviv,3401,Thu 2 Mar,LOT Polish Airlines,1210,Direct,Economy
57,Orlando,340,Fri 17 Feb,Norse Atlantic Airways,10341,Direct,Economy
58,Tel Aviv,3761,Tue 21 Feb,HiSky Europe,2135,Direct,Economy
59,Orlando,376,Tue 21 Feb,Air Serbia,15351,3 stops,Economy
60,Tel Aviv,541,Wed 26 Oct,Norse Atlantic Airways,1610,2 stops • Change airport,Economy
61,Istanbul,54,Mon 17 Oct,Ryanair,1920,2 stops,Economy
62,Tel Aviv,542,Tue 25 Oct,Norse Atlantic Airways,1025,2 stops,Economy
63,Istanbul,54,Tue 25 Oct,Spirit Airlines,1335,2 stops,Economy
64,Tel Aviv,542,Tue 18 Oct,Wizz Air,0720,3 stops,Economy
65,Istanbul,54,Wed 26 Oct,Ryanair,1030,2 stops,Economy
66,Tel Aviv,541,Tue 18 Oct,Norse Atlantic Airways,1025,2 stops • Change airport,Economy
67,Istanbul,54,Sat 15 Oct,Ryanair,1335,2 stops,Economy
68,Tel Aviv,541,Tue 25 Oct,Norse Atlantic Airways,1610,2 stops • Change airport,Economy
69,Istanbul,54,Sat 15 Oct,Wizz Air,1920,2 stops • Change airport,Economy
70,Tel Aviv,542,Fri 14 Oct,Norse Atlantic Airways,0720,2 stops,Economy
71,Istanbul,54,Fri 21 Oct,United Airlines,1030,2 stops,Economy
72,Tel Aviv,552,Mon 17 Oct,Wizz Air,1610,2 stops,Economy
73,Istanbul,55,Fri 14 Oct,Ryanair,1920,3 stops,Economy
74,Tel Aviv,552,Tue 25 Oct,Norse Atlantic Airways,0720,2 stops,Economy
75,Istanbul,55,Tue 18 Oct,Wizz Air,1030,3 stops,Economy
76,Tel Aviv,552,Fri 14 Oct,Ryanair,1610,3 stops,Economy
77,Istanbul,55,Tue 18 Oct,Norse Atlantic Airways,1920,2 stops • Change airport,Economy
78,Tel Aviv,552,Wed 7 Sep,HiSky Europe,1610,2 stops,Economy
79,Istanbul,55,Tue 13 Sep,Air Serbia,1920,3 stops,Economy
80,Tel Aviv,702,Fri 9 Sep,Norse Atlantic Airways,1610,3 stops,Economy
81,Istanbul,70,Thu 8 Sep,Ryanair,1920,2 stops,Economy
82,Tel Aviv,702,Wed 12 Oct,Norse Atlantic Airways,0530,1 stop,Economy
83,Istanbul,70,Fri 26 Aug,Delta Air Lines,0840,1 stop,Economy
84,Tel Aviv,702,Tue 13 Sep,Wizz Air,0720,1 stop,Economy
85,Istanbul,70,Sat 17 Sep,Ryanair,1030,1 stop,Economy
86,Tel Aviv,712,Tue 18 Oct,Norse Atlantic Airways,1610,1 stop,Economy
87,Istanbul,71,Wed 14 Sep,Pegasus,1920,1 stop,Economy
88,Tel Aviv,712,Thu 25 Aug,Pegasus,0530,1 stop,Economy
89,Istanbul,71,Tue 6 Sep,Pegasus,0840,1 stop,Economy
90,Tel Aviv,712,Fri 17 Mar,Pegasus,1610,1 stop,Economy
91,Istanbul,71,Mon 16 Jan,Pegasus,1920,1 stop,Economy
92,Tel Aviv,712,Mon 23 Jan,Pegasus,0530,1 stop,Economy
93,Istanbul,71,Tue 31 Jan,Pegasus,0840,1 stop,Economy
94,Tel Aviv,712,Sat 12 Nov,Pegasus,0530,1 stop,Economy
95,Istanbul,71,Tue 14 Feb,Pegasus,0840,1 stop,Economy
96,Tel Aviv,712,Sat 28 Jan,Pegasus,1610,1 stop,Economy
97,Istanbul,71,Fri 27 Jan,Pegasus,1920,1 stop,Economy
98,Tel Aviv,712,Fri 24 Feb,Pegasus,0530,1 stop,Economy
99,Istanbul,71,Mon 30 Jan,Pegasus,0840,1 stop,Economy
100,Tel Aviv,712,Sat 21 Jan,Pegasus,0720,1 stop,Economy
101,Istanbul,71,Sat 5 Nov,Pegasus,1030,1 stop,Economy
102,Tel Aviv,712,Sat 14 Jan,Pegasus,1610,1 stop,Economy
103,Istanbul,71,Sat 11 Feb,Pegasus,1920,1 stop,Economy
104,Tel Aviv,712,Sat 22 Oct,Pegasus,1025,1 stop,Economy
105,Istanbul,71,Fri 10 Mar,Pegasus,1335,1 stop,Economy
106,Tel Aviv,712,Fri 20 Jan,Pegasus,0720,1 stop,Economy
107,Istanbul,71,Tue 14 Mar,Pegasus,1030,1 stop,Economy
108,Tel Aviv,71,Tue 24 Jan,Pegasus,0530,1 stop,Economy
109,Istanbul,71,Tue 7 Feb,Pegasus,0840,1 stop,Economy
110,Tel Aviv,712,Tue 17 Jan,Pegasus,1025,1 stop,Economy
111,Istanbul,71,Tue 7 Mar,Pegasus,1335,1 stop,Economy
112,Tel Aviv,712,Sat 10 Dec,Pegasus,1025,1 stop,Economy
113,Istanbul,71,Sat 26 Nov,Pegasus,1335,1 stop,Economy
114,Tel Aviv,712,Tue 28 Feb,Pegasus,0720,1 stop,Economy
115,Istanbul,71,Fri 25 Nov,Pegasus,1030,1 stop,Economy
116,Tel Aviv,732,Sat 3 Dec,Pegasus,0530,1 stop,Economy
117,Istanbul,73,Fri 2 Dec,Wizz Air,0840,1 stop,Economy
118,Tel Aviv,732,Fri 18 Nov,Ryanair,1610,1 stop,Economy
119,Istanbul,73,Sun 16 Oct,Norse Atlantic Airways,1920,1 stop,Economy
120,Tel Aviv,3301,Wed 15 Mar,JetBlue Airways,2200,1 stop,Economy
121,Las Vegas,330,Sun 26 Feb,Ryanair,18001,1 stop,Economy
122,Tel Aviv,3311,Tue 14 Mar,Norse Atlantic Airways,1210,2 stops,Economy
123,Las Vegas,331,Tue 28 Feb,Spirit Airlines,09361,2 stops,Economy
124,Tel Aviv,3251,Thu 23 Feb,Ryanair,1915,1 stop,Economy
125,Las Vegas,325,Wed 22 Mar,Norse Atlantic Airways,18001,1 stop,Economy
126,Tel Aviv,3531,Sun 5 Mar,JetBlue Airways,1915,1 stop,Economy
127,Las Vegas,353,Tue 7 Mar,Ryanair,15401,1 stop,Economy
128,Tel Aviv,3601,Wed 8 Mar,Norse Atlantic Airways,1915,1 stop,Economy
129,Las Vegas,360,Sun 12 Mar,Alaska Airlines,15401,1 stop,Economy
130,Tel Aviv,3671,Tue 21 Feb,Ryanair,2200,1 stop,Economy
131,Las Vegas,367,Tue 21 Mar,Norse Atlantic Airways,17481,1 stop,Economy
132,Tel Aviv,3531,Tue 21 Feb,Alaska Airlines,1915,1 stop,Economy
133,Las Vegas,353,Mon 20 Feb,Wizz Air,18001,1 stop,Economy
134,Tel Aviv,3321,Mon 27 Feb,Ryanair,2145,1 stop,Economy
135,Las Vegas,332,Sun 5 Mar,Norse Atlantic Airways,23171,1 stop,Economy
136,Tel Aviv,3221,Wed 22 Feb,United Airlines,1410,1 stop,Economy
137,Las Vegas,322,Thu 2 Feb,Ryanair,18001,1 stop,Economy
138,Tel Aviv,3812,Wed 9 Nov,Norse Atlantic Airways,1255,1 stop,Economy
139,Las Vegas,381,Tue 7 Mar,JetBlue Airways,09361,Direct,Economy
140,Tel Aviv,3382,Sun 11 Sep,Wizz Air UK,2145,Direct,Economy
141,Las Vegas,338,Thu 9 Feb,Norse Atlantic Airways,23591,Direct,Economy
142,Tel Aviv,3391,Tue 7 Feb,Spirit Airlines,2150,Direct,Economy
143,Las Vegas,339,Wed 15 Feb,easyJet,23591,Direct,Economy
144,Tel Aviv,3551,Sun 18 Sep,Norse Atlantic Airways,2245,Direct,Economy
145,Las Vegas,355,Mon 21 Nov,JetBlue Airways,23171,Direct,Economy
146,Tel Aviv,3501,Thu 17 Nov,Ryanair,2145,Direct,Economy
147,Las Vegas,350,Sat 15 Oct,Norse Atlantic Airways,23171,Direct,Economy
148,Tel Aviv,3251,Tue 14 Feb,Spirit Airlines,1915,Direct,Economy
149,Las Vegas,325,Sat 11 Feb,Wizz Air UK,23591,Direct,Economy
150,Tel Aviv,3581,Tue 7 Feb,Ryanair UK,1915,Direct,Economy
151,Las Vegas,358,Tue 31 Jan,Norse Atlantic Airways,20011,Direct,Economy
152,Tel Aviv,363,Fri 14 Oct,United Airlines,2145,Direct,Economy
153,Las Vegas,363,Mon 30 Jan,Ryanair,21571,Direct,Economy
154,Tel Aviv,3361,Tue 17 Jan,Norse Atlantic Airways,1410,Direct,Economy
155,Las Vegas,336,Fri 3 Feb,United Airlines,18001,Direct,Economy
156,Tel Aviv,4032,Fri 13 Jan,Wizz Air,2200,Direct,Economy
157,Las Vegas,403,Sun 22 Jan,Norse Atlantic Airways,17401,Direct,Economy
158,Tel Aviv,3821,Thu 19 Jan,Spirit Airlines,1915,Direct,Economy
159,Las Vegas,382,Mon 23 Jan,Wizz Air UK,17401,Direct,Economy
160,Tel Aviv,3771,Tue 7 Feb,Norse Atlantic Airways,2150,Direct,Economy
161,Las Vegas,377,Tue 24 Jan,Spirit Airlines,21321,Direct,Economy
162,Tel Aviv,3882,Wed 25 Jan,Ryanair,2115,Direct,Economy
163,Las Vegas,388,Sun 22 Jan,Norse Atlantic Airways,19591,Direct,Economy
164,Tel Aviv,4131,Tue 31 Jan,United Airlines,2200,Direct,Economy
165,Las Vegas,413,Sun 29 Jan,Ryanair,17481,Direct,Economy
166,Tel Aviv,3821,Fri 20 Jan,Norse Atlantic Airways,2150,Direct,Economy
167,Las Vegas,382,Wed 18 Jan,United Airlines,21391,Direct,Economy
168,Tel Aviv,3562,Sun 15 Jan,Wizz Air UK,1950,Direct,Economy
169,Las Vegas,356,Sat 14 Jan,Ryanair UK,23381,1 stop,Economy
170,Tel Aviv,3511,Sat 15 Oct,Norse Atlantic Airways,1255,1 stop,Economy
171,Las Vegas,351,Tue 11 Oct,Delta Air Lines,17281,1 stop,Economy
172,Tel Aviv,3411,Thu 13 Oct,easyJet,1410,1 stop,Economy
173,Las Vegas,341,Tue 11 Oct,Norse Atlantic Airways,20011,1 stop,Economy
174,Tel Aviv,4232,Tue 15 Nov,JetBlue Airways,2200,1 stop,Economy
175,Las Vegas,423,Fri 25 Nov,Wizz Air,17401,1 stop,Economy
176,Tel Aviv,3982,Wed 30 Nov,Ryanair,2115,1 stop,Economy
177,Las Vegas,398,Sat 22 Oct,Norse Atlantic Airways,20061,1 stop,Economy
178,Tel Aviv,4031,Sat 15 Oct,Spirit Airlines,1915,1 stop,Economy
179,Las Vegas,403,Tue 8 Nov,Ryanair,17401,1 stop,Economy
180,Tel Aviv,56,Tue 18 Oct,Norse Atlantic Airways,1255,1 stop,Economy
181,Barcelona,56,Wed 1 Feb,Spirit Airlines,1935,1 stop,Economy
182,Tel Aviv,591,Sat 14 Jan,Ryanair,1125,1 stop,Economy
183,Barcelona,59,Mon 23 Jan,Norse Atlantic Airways,1745,1 stop,Economy
184,Tel Aviv,592,Wed 25 Jan,Spirit Airlines,1125,1 stop,Economy
185,Barcelona,59,Wed 15 Feb,Wizz Air,1745,1 stop,Economy
186,Tel Aviv,56,Tue 25 Oct,Ryanair,1115,1 stop,Economy
187,Barcelona,56,Tue 15 Nov,Norse Atlantic Airways,1800,1 stop,Economy
188,Tel Aviv,67,Thu 13 Oct,Spirit Airlines,1035,1 stop,Economy
189,Barcelona,67,Wed 23 Nov,Wizz Air,1605,2 stops,Economy
190,Tel Aviv,58,Wed 15 Feb,Ryanair,1115,1 stop,Economy
191,Barcelona,58,Wed 8 Feb,Norse Atlantic Airways,1800,1 stop,Economy
192,Tel Aviv,69,Sat 15 Oct,United Airlines,1035,1 stop,Economy
193,Barcelona,69,Mon 6 Feb,Ryanair,1605,1 stop,Economy
194,Tel Aviv,601,Tue 25 Oct,Norse Atlantic Airways,1255,2 stops,Economy
195,Barcelona,60,Sat 28 Jan,Spirit Airlines,1935,1 stop,Economy
196,Tel Aviv,601,Sat 15 Oct,easyJet,1255,1 stop,Economy
197,Barcelona,60,Wed 11 Jan,Wizz Air,1935,1 stop,Economy
198,Tel Aviv,631,Mon 31 Oct,Norse Atlantic Airways,1125,1 stop,Economy
199,Barcelona,63,Wed 25 Jan,Spirit Airlines,1745,1 stop,Economy
200,Tel Aviv,70,Sat 4 Feb,Ryanair,1035,1 stop,Economy
201,Barcelona,70,Mon 28 Nov,Norse Atlantic Airways,1605,1 stop,Economy
202,Tel Aviv,701,Sat 22 Oct,Spirit Airlines,1035,1 stop,Economy
203,Barcelona,70,Sat 21 Jan,easyJet,1605,1 stop,Economy
204,Tel Aviv,70,Fri 3 Feb,Norse Atlantic Airways,1035,1 stop,Economy
205,Barcelona,70,Mon 21 Nov,United Airlines,1605,1 stop,Economy
206,Tel Aviv,70,Wed 1 Feb,Wizz Air,1035,1 stop,Economy
207,Barcelona,70,Mon 23 Jan,Ryanair,1605,1 stop,Economy
208,Tel Aviv,583,Mon 16 Jan,Norse Atlantic Airways,1055,1 stop,Economy
209,Barcelona,58,Mon 30 Jan,Spirit Airlines,1800,1 stop,Economy
210,Tel Aviv,623,Mon 20 Feb,Wizz Air,1255,1 stop,Economy
211,Barcelona,62,Mon 13 Feb,Ryanair,1935,1 stop,Economy
212,Tel Aviv,621,Mon 20 Mar,Norse Atlantic Airways,1255,1 stop,Economy
213,Barcelona,62,Mon 6 Feb,Spirit Airlines,1935,1 stop,Economy
214,Tel Aviv,643,Thu 23 Mar,Ryanair,1115,1 stop,Economy
215,Barcelona,64,Mon 17 Oct,Norse Atlantic Airways,1800,1 stop,Economy
216,Tel Aviv,641,Fri 2 Dec,Spirit Airlines,1115,1 stop,Economy
217,Barcelona,64,Sat 22 Oct,easyJet,1800,1 stop,Economy
218,Tel Aviv,65,Tue 17 Jan,Ryanair,1115,1 stop,Economy
219,Barcelona,65,Wed 26 Oct,Ryanair,1800,1 stop,Economy
220,Tel Aviv,653,Wed 25 Jan,Ryanair,1115,1 stop,Economy
221,Barcelona,65,Wed 1 Feb,Ryanair,1800,1 stop,Economy
222,Tel Aviv,653,Thu 9 Mar,Ryanair,1115,1 stop,Economy
223,Barcelona,65,Mon 17 Oct,Ryanair,1800,1 stop,Economy
224,Tel Aviv,75,Sat 15 Oct,Ryanair,1035,1 stop,Economy
225,Barcelona,75,Sun 4 Dec,easyJet,1605,1 stop,Economy
226,Tel Aviv,75,Thu 13 Oct,Ryanair,1035,1 stop,Economy
227,Barcelona,75,Thu 2 Feb,easyJet,1605,1 stop,Economy
228,Tel Aviv,66,Thu 1 Dec,Ryanair,1115,1 stop,Economy
229,Barcelona,66,Mon 24 Oct,Ryanair,1800,1 stop,Economy
230,Tel Aviv,681,Mon 6 Feb,Ryanair,1255,1 stop,Economy
231,Barcelona,68,Mon 14 Nov,Ryanair,1935,1 stop,Economy
232,Tel Aviv,781,Mon 12 Dec,Ryanair,1035,1 stop,Economy
233,Barcelona,78,Mon 9 Jan,Ryanair,1605,1 stop,Economy
234,Tel Aviv,692,Tue 18 Oct,Wizz Air,1305,1 stop,Economy
235,Barcelona,69,Tue 22 Nov,easyJet,2000,1 stop,Economy
236,Tel Aviv,731,Tue 15 Nov,easyJet,1255,1 stop,Economy
237,Barcelona,73,Sat 18 Feb,Ryanair,1935,1 stop,Economy
238,Tel Aviv,732,Tue 6 Dec,easyJet,1305,1 stop,Economy
239,Barcelona,73,Tue 21 Feb,Ryanair,1955,1 stop,Economy
